source,reference,hypothesis,chrf_segment,bleu_segment,ter_segment
The number of teats in a cow is A. two B. four C. six D. eight,Yawan mama nawane a jikin saniya Option A. biyu Option B. huɗu Option C. shida Option D. takwas,Yawan teats a cikin saniya ne Option A. Biyu Option B. hudu Option C. shida Option D. Takwas,65.75873231753094,39.968063846798266,27.77777777777778
The movement of digested feed into the bloodstream is known as A. absorption B. digestion C. egestion D. ingestion,Shigar abincin da ya narke cikin jini an fi sanin sa da: Option A. shigar sinadarai; Option B. narkewar abinci; Option C. bayan gida Option; D. cin abinci.,Motsin abinci mai narkewa a cikin ƙwayar jini an san shi da Option A. sha Option B. Ana narkewa Option C. Ertsion Option D. Cire,42.407332193544676,10.438278554434513,67.85714285714286
Selection of animals based on performance of ancestors is called A. mass selection B. family selection C. progeny selection D. pedigree selection,Zaɓin dabbobi dangane da ayyukan magabatan su ana kiran sa da: Option A. mass selection Option B. family selection Option C. progeny selection Option D. pedigree selection,Zabi dabbobin dabbobi dangane da ayyukan magabatan ana kiransu Option A. Zabin Mass Option B. Zabin iyali Option C. Zabin Pregeny Option D. Pedigree,51.33607728510186,24.27977119843015,48.148148148148145
The incubation period of chicken egg is A. seventeen days B. twenty-one days C. twenty-eight days D. thirty days,Lokacin ƙyannƙyashe ƙwan kaza shi ne Option A. kwana goma sha bakwai Option B. kwanaki ashirin da ɗaya Option C. kwanaki ashirin da takwas Option D. Kwanaki talatin,Lokacin shiryawa na kwai kaza shine Option A. kwana goma sha bakwai Option B. Kwana ashirin da daya Option C. kwanaki ashirin da takwas Option D. Kwanaki talatin,81.43173309176076,65.33389518036721,25.0
Which of the following body systems determines the type of feed given to an animal? A. Circulatory B. Digestive C. Excretory D. Reproductive,Wanne tsarin jiki ne ke ƙayyade irin abincin da ake ba dabba? Option A. Ciwon Jiki Option B. narkewar abinci  Option C. Excretory Option D. Haihuwa,Wanne daga cikin tsarin jikin mutum ya yanke irin nau'in abincin da aka bayar ga dabba? Option A. B. Dessive Option C. D. Yin haihuwa,44.96627077113482,20.089013457339803,69.23076923076923
"Which of the following farm animals are monogastrics? I. Carmel II. Donkey III. Horse A. I and II only B. I and III only C. II and III D. I, II and III only","Waɗanne ne a cikin waɗannan dabbobin masu  ciki ɗaya? I. Raƙumi II.Jaki III. Doki Option A. I da II kawai Option B. I da III kawai  Option C. II da III Option D. I, II da III kawai","Wanne ne daga cikin dabbobin gona masu zuwa sune ayyukan dabbobi?I. Karmel II.Jaki III.Doki Option A. Ni da II kawai Option B. I da III kawai Option C. II da III Option D. I, II da III kawai",73.56848906221757,68.40208341471683,31.57894736842105
The first stage at which the tick attaches itself to the body of the grazing farm animal is A. adult B. egg C. larva D. nymph,Mataki na farko wanda kaska take kama jikin dabbar da ke  kiwo ita ce Option A. girma Option B. ƙwai Option C. tsutsa Option  D. nymph,Mataki na farko wanda a wane kaska yake kama da kansa ga jikin dabbar kiwo Option A. girma Option B. kwai Option C. Tsutsa Option D. Nymph,70.53816561408966,37.21837024726832,34.61538461538461
Which of the following organs is influenced by oxytocin A. Kidney B. Lung C. Testis D. Udder,A wanne sassa  oxytocin yake tasiri ? Option A. ƙoda Option B. huhu Option C. Testis Option D. nono,Wanne ne daga cikin waɗannan sassan oxytocin Option A. Koda Option B. huhu Option C. Testis Option D. nono,69.28834195156422,55.79235335264043,42.10526315789473
"Which of the following methods are used in animal improvement? I. introduction II. Isolation III. Selection A. I and II only B. I and III only C. II and III only D. I, II and III","Wacce hanya ce daga cikin waɗannan hanyoyin ake amfani da ita don inganta dabbobi?I. Gabatarwa II.Warewa III.Zaɓe  Option A. I da II kawai Option B. I da III kawai Option C. II da III kawai Option D. I, II da III","Wanne daga cikin waɗannan hanyoyin da ake amfani da su a cikin cigaban dabbobi?I. Gabatarwa II.Warewa III.Zaɓe Option A. Ni da II kawai Option B. I da III kawai Option C. II da III kawai Option D. I, II da III",83.02401509948787,77.19915745650545,21.951219512195124
The vector that transmits trypanosomiasis is A. roundworm B. tapeworm C. tsetse fly D. white fly,Vector da ke saka cutar Trypanosomiasis shi ne Option A. Tsutsar ciki Option B. tefworm Option C. Ƙudan tsandu Option D. Ƙudan cizo,Vector wanda ke watsa Trypanosomiis shine Option A. Roundworm Option B. tefworm Option C. Titetsege Option D. White tashi,54.05559279387835,31.508874882033968,52.17391304347826
Which of the following identification methods could be used in poultry production? A. Banding B. Branding C. Notching D. Tattooing,Wanne daga cikin waɗannan hanyoyin tantancewa za a iya amfani da su wajen kiwon kaji? Option A. Saka bandeji Option B. Alamar kasuwanci Option C. Notching Option D. Tatoo,Wanne daga cikin hanyoyin bayyanar da za'a iya amfani dasu a cikin kayan kaji? Option A. Bango Option B. Barka da alama Option C. Notching Option D. tattooing,57.58272780705066,36.965401770553854,48.275862068965516
An example of a non ruminant herbivore is A. cattle B. horse C. pig D. sheep,Misalin maras ciyawar daji shine Option A. shanu Option B. doki Option C. alade Option D. tumaki,Misali na marar garjini Option A. shanu Option B. doki Option C. alade Option D. Tumaki,70.70444527688541,69.30187636557545,29.411764705882355
Digestion in the rumen is mainly A. catalytic B. enzymatic C. hormonal D. microbial,Narkewar abinci a cikin runbu shine yafi Option A. catalytic Option B. enzymatic Option C. hormonal Option D. microbial,Narkewa a cikin larm Option A. Catalytic Option B. enzymatic Option C. Hormonal Option D. Wani microbial,66.54195382803081,39.127981677585595,31.57894736842105
The structure illustrated in the diagram is found in A. cattle B. pig C. poultry D. rabbit,Tsarin da aka kwatanta a cikin zanen yana samuwa a cikin Option A. Shanu Option B. Alade Option C. Kaji Option D. zomo,An samo tsarin a cikin zane a ciki Option A. shanu Option B. alade Option C. Poulry Option D. Zomo,51.30301300212907,15.91874652417867,39.130434782608695
The part labeled I and II are A. oesophagus and crop B. rumen and reticulum C. ovary and oviduct D. infandibulum and magnum,Ɓangaren da aka yiwa laƙabi da I da II sune Option A. esophagus da crop Option B. runbu da reticulum Option C. ovary da oviduct Option D. infandibulum da magnum,Kashi na da II ne Option A. Esophagus da amfanin gona Option B. Ramen da reticulum Option C. Ovary da oviduct Option D. Infibulum da Magnum,56.41666436375969,29.350441511773234,40.0
